rosbagTimestamp,iTOW,version,numSvs,reserved0,sv,-,gnssId,svId,cno,elev,azim,prRes,flags
1605259834326311932,466252300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259836327162132,466254300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259838328175862,466256300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259840326907765,466258300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259842327665863,466260300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259844326322390,466262300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605259846326321075,466264300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259848326581273,466266300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605259850326016130,466268300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605259852325923925,466270300,1,1,"[0, 0]",,0,31,22,-91,0,0,6420
1605259854326267440,466272300,1,1,"[0, 0]",,0,31,20,-91,0,0,6420
1605259856325797838,466274300,1,1,"[0, 0]",,0,31,21,-91,0,0,6420
1605259858326314486,466276300,1,1,"[0, 0]",,0,31,20,-91,0,0,6420
1605259860326309026,466278300,1,1,"[0, 0]",,0,31,20,-91,0,0,6420
1605259862326217555,466280300,1,1,"[0, 0]",,0,31,24,-91,0,0,6420
1605259864326418923,466282300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605259866328289392,466284300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259868325883844,466286300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259870327185392,466288300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605259872326394356,466290300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259874327068037,466292300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259876326778676,466294300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605259878326675335,466296300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
