rosbagTimestamp,iTOW,version,numSvs,reserved0,sv,-,gnssId,svId,cno,elev,azim,prRes,flags,-,gnssId,svId,cno,elev,azim,prRes,flags,-,gnssId,svId,cno,elev,azim,prRes,flags
1605264159028405385,470577000,1,13,"[0, 0]",,0,3,24,-91,0,0,3,0,6,26,58,259,71,2332,0,9,23,67,220,17,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,34,79,348,22,2335,6,14,28,36,74,32,2335,6,20,20,34,220,0,4628,6,21,33,45,301,34,6431,6,22,0,13,345,0,4625
1605264161029653345,470579000,1,13,"[0, 0]",,0,3,23,-91,0,0,3,0,6,26,58,259,77,2332,0,9,23,67,220,18,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,34,79,349,22,2335,6,14,28,36,74,37,2335,6,20,19,34,220,0,4628,6,21,33,45,301,28,6431,6,22,0,13,345,0,4625
1605264163030740892,470581000,1,13,"[0, 0]",,0,3,23,-91,0,0,3,0,6,26,58,259,52,2332,0,9,23,67,220,-1,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,34,79,349,18,2335,6,14,28,36,74,15,2335,6,20,19,34,220,0,4628,6,21,33,45,301,28,6431,6,22,0,13,345,0,4625
1605264165029857289,470583000,1,13,"[0, 0]",,0,3,23,-91,0,0,3,0,6,26,58,259,19,2332,0,9,23,67,220,-29,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,34,79,349,18,2335,6,14,28,36,74,19,2335,6,20,20,34,220,0,4628,6,21,33,45,301,26,6431,6,22,0,13,345,0,4625
1605264167029548382,470585000,1,13,"[0, 0]",,0,3,23,-91,0,0,3,0,6,26,58,259,6,2334,0,9,23,67,220,-38,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,34,79,349,17,2335,6,14,27,36,74,23,2335,6,20,19,34,220,0,4628,6,21,33,45,301,20,6431,6,22,0,13,345,0,4625
1605264169028845619,470587000,1,13,"[0, 0]",,0,3,23,-91,0,0,3,0,6,27,58,259,29,2334,0,9,23,67,220,-36,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,34,79,349,15,2335,6,14,28,36,74,20,2335,6,20,19,34,220,0,4628,6,21,34,45,301,17,6431,6,22,0,13,345,0,4625
1605264171029428500,470589000,1,13,"[0, 0]",,0,3,24,-91,0,0,3,0,6,26,58,259,26,2334,0,9,22,67,220,-49,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,34,79,349,14,2335,6,14,28,36,74,25,2335,6,20,19,34,220,0,4628,6,21,33,45,301,17,6431,6,22,0,13,345,0,4625
1605264173029744374,470591000,1,13,"[0, 0]",,0,3,23,-91,0,0,3,0,6,26,58,259,39,2334,0,9,22,67,220,-63,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,34,79,349,8,2335,6,14,28,36,74,32,2335,6,20,19,34,220,0,4628,6,21,33,45,301,16,6431,6,22,0,13,345,0,4625
1605264175029482101,470593000,1,13,"[0, 0]",,0,3,24,-91,0,0,3,0,6,26,58,259,20,2335,0,9,22,67,220,-51,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,34,79,349,3,2335,6,14,28,36,74,38,2335,6,20,18,34,220,0,4628,6,21,34,45,301,17,6431,6,22,0,13,345,0,4625
1605264177030022685,470595000,1,14,"[0, 0]",,0,3,23,-91,0,0,3,0,6,26,58,259,18,2335,0,9,22,67,220,-28,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,4,27,34,74,0,4627,6,5,34,79,349,4,2335,6,14,28,36,74,32,2335,6,20,18,34,220,0,4628,6,21,33,45,300,15,6431,6,22,0,13,345,0,4625
1605264179033048347,470597000,1,14,"[0, 0]",,0,3,24,-91,0,0,3,0,6,26,58,259,0,2335,0,9,22,67,220,-24,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,4,28,34,74,0,4628,6,5,34,79,349,4,2335,6,14,28,36,74,36,2335,6,20,19,34,220,0,4628,6,21,34,45,300,14,6431,6,22,0,13,345,0,4625
1605264181031185651,470599000,1,14,"[0, 0]",,0,3,24,-91,0,0,3,0,6,26,58,259,-3,2335,0,9,22,67,220,-30,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,4,27,34,74,0,4630,6,5,34,79,350,3,6431,6,14,28,36,74,52,2335,6,20,17,34,220,0,4628,6,21,34,45,300,11,6431,6,22,0,13,345,0,4625
1605264183031272285,470601000,1,14,"[0, 0]",,0,3,24,-91,0,0,3,0,6,26,58,259,-2,2335,0,9,22,67,220,10,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,4,27,34,74,0,4630,6,5,34,79,350,3,6431,6,14,28,36,74,42,2335,6,20,18,34,220,0,4628,6,21,33,45,300,10,6431,6,22,0,13,345,0,4625
1605264185031283976,470603000,1,14,"[0, 0]",,0,3,23,-91,0,0,3,0,6,26,58,258,-5,2335,0,9,22,67,220,11,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,4,28,34,74,0,4630,6,5,34,79,350,2,6431,6,14,29,36,74,48,2335,6,20,19,34,220,0,4628,6,21,34,45,300,9,6431,6,22,0,13,345,0,4625
1605264187031167059,470605000,1,14,"[0, 0]",,0,3,24,-91,0,0,3,0,6,26,58,258,7,2335,0,9,22,67,220,13,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,4,27,34,74,0,4630,6,5,34,79,350,1,6431,6,14,29,36,74,37,2335,6,20,18,34,220,0,4628,6,21,34,45,300,9,6431,6,22,0,13,345,0,4625
1605264189032753806,470607000,1,14,"[0, 0]",,0,3,24,-91,0,0,3,0,6,26,58,258,2,2335,0,9,22,67,220,33,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,4,28,34,74,0,4631,6,5,34,79,350,1,6431,6,14,29,36,74,13,2335,6,20,18,34,220,0,4628,6,21,34,45,300,10,6431,6,22,0,13,345,0,4625
1605264191032102583,470609000,1,14,"[0, 0]",,0,3,24,-91,0,0,3,0,6,26,58,258,5,2335,0,9,22,67,220,15,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,4,27,34,74,0,4631,6,5,34,79,350,2,6431,6,14,28,37,74,2,2335,6,20,19,34,220,0,4628,6,21,34,45,300,7,6431,6,22,0,13,345,0,4625
1605264193029629458,470611000,1,14,"[0, 0]",,0,3,24,-91,0,0,3,0,6,26,58,258,-27,2335,0,9,22,67,220,32,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,4,28,34,74,0,4631,6,5,34,79,350,2,6431,6,14,29,37,74,6,2335,6,20,18,34,220,0,4628,6,21,34,45,300,9,6431,6,22,0,13,345,0,4625
1605264195032751133,470613000,1,15,"[0, 0]",,0,3,23,-91,0,0,3,0,6,26,58,258,-21,2335,0,9,22,67,220,7,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,4,28,34,74,0,4631,6,5,34,79,350,7,6431,6,6,26,26,270,0,4627,6,14,29,37,74,12,2335,6,20,18,34,220,0,4628,6,21,34,45,300,8,6431,6,22,0,13,345,0,4625
1605264197032745103,470615000,1,15,"[0, 0]",,0,3,24,-91,0,0,3,0,6,26,58,258,-12,2335,0,9,23,67,220,16,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,4,28,34,74,0,4631,6,5,34,79,350,9,6431,6,6,26,26,270,0,4628,6,14,29,37,74,8,2335,6,20,18,34,220,0,4628,6,21,34,45,300,8,6431,6,22,0,13,345,0,4625
1605264199031183124,470617000,1,15,"[0, 0]",,0,3,23,-91,0,0,3,0,6,26,58,258,13,2335,0,9,23,67,220,29,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,4,28,34,74,0,4631,6,5,34,79,350,8,6431,6,6,25,26,270,0,4628,6,14,29,37,74,2,2335,6,20,18,34,220,0,4628,6,21,34,45,300,5,6431,6,22,0,13,345,0,4625
1605264201031846637,470619000,1,15,"[0, 0]",,0,3,23,-91,0,0,3,0,6,26,58,258,15,2335,0,9,23,67,220,-5,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,4,28,34,74,0,4631,6,5,34,79,350,6,6431,6,6,26,26,270,0,4628,6,14,29,37,74,-3,2335,6,20,19,34,220,0,4628,6,21,34,45,300,4,6431,6,22,0,13,345,0,4625
1605264203031442973,470621000,1,15,"[0, 0]",,0,3,23,-91,0,0,3,0,6,26,58,258,26,2335,0,9,23,67,220,-21,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,4,28,34,74,0,4631,6,5,34,79,351,1,6431,6,6,26,26,270,0,4628,6,14,29,37,74,-15,2335,6,20,18,34,220,0,4628,6,21,34,45,300,6,6431,6,22,0,13,345,0,4625
1605264205032732507,470623000,1,15,"[0, 0]",,0,3,23,-91,0,0,3,0,6,26,58,258,23,2335,0,9,23,67,220,-29,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,4,27,34,74,0,4631,6,5,34,79,351,0,6431,6,6,26,26,270,0,4628,6,14,29,37,74,-14,2335,6,20,18,34,220,0,4628,6,21,34,45,300,9,6431,6,22,0,13,345,0,4625
1605264207033404149,470625000,1,15,"[0, 0]",,0,3,23,-91,0,0,3,0,6,26,58,258,24,2335,0,9,23,67,220,-39,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,4,27,34,74,0,4631,6,5,34,79,351,-1,6431,6,6,26,26,270,0,4628,6,14,29,37,74,6,2335,6,20,18,34,220,0,4628,6,21,34,45,300,9,6431,6,22,0,13,345,0,4625
